sim_number,avgTripOverhead
0,2.59590980008
1,2.7022713661
2,2.60406379207
3,2.91963207805
4,2.88818843328
5,2.46818895339
6,2.83087726257
7,2.52597295399
8,2.60145753355
9,2.63466765225
10,2.79998780711
11,2.47785073238
12,2.40304088522
13,2.76825607627
14,2.66470747327
15,2.51444626509
16,2.96482523785
17,2.80475549302
18,2.53339214679
19,2.72500874043
20,2.84439468346
21,2.83241699941
22,2.7000690457
23,2.77902652521
24,2.43344217128
25,2.48967811868
26,2.83253403118
27,2.90916929908
28,2.76472058053
29,2.81592980151
30,2.64946873472
31,2.61935610195
32,2.45263614028
33,2.88056636499
34,2.62346566534
35,2.77099910616
36,2.49562068482
37,2.42717999805
38,2.68200888894
39,2.79973523533
40,2.8163833715
41,2.77151598481
42,2.55156897193
43,2.74016046483
44,2.67803017598
45,2.509382218
46,2.67280138109
47,2.54998790227
48,2.60062611638
49,2.49345012922
50,2.62659831171
51,2.43771446075
52,2.56206018034
53,2.41257388868
54,2.61041595847
55,2.6265908295
56,2.63218535541
57,2.7716003523
58,2.5517870578
59,2.60002924681
60,2.78058178268
61,2.63571621622
62,2.5189374891
63,2.83488970321
64,2.74003308853
65,2.68361261081
66,2.45024633941
67,2.9757789256
68,2.74862400976
69,2.60815831162
70,2.70885348329
71,2.67985397796
72,2.65578494617
73,2.78656617965
74,2.61770249612
75,2.80931070024
76,2.52102842728
77,2.72242905501
78,2.49637722748
79,2.61150044198
80,2.75202795752
81,2.51377832005
82,2.79062328984
83,2.51024671084
84,2.89428418664
85,2.8001220779
86,2.67259378678
87,2.79232850347
88,2.79341136736
89,2.92003984922
90,2.70995434027
91,2.46714215055
92,2.74821364334
93,3.00143590354
94,2.46883270574
95,2.47526906973
96,2.62749332539
97,2.71275091465
98,2.61502100153
99,2.46248674354
100,2.5330285265
101,2.89174658828
102,2.7500510385
103,2.60960814239
104,2.60505238798
105,2.77019402373
106,2.8700522546
107,2.6653241306
108,2.70259785899
109,2.5414177924
110,2.67434956437
111,2.54477652411
112,2.88664185912
113,2.73744159951
114,2.47125472749
115,2.47941904652
116,2.92331476277
117,2.83481859011
118,2.63373982453
119,2.58688478878
120,2.49537752481
121,2.47164761537
122,2.80353764839
123,2.62384792643
124,2.73837822391
125,2.73390459254
126,2.68497769204
127,2.67920442088
128,2.66616571621
129,2.56138350206
130,2.8094903231
131,2.61639558406
132,2.56797088796
133,2.5696159965
134,2.7154523501
135,3.02233426746
136,2.5375071927
137,2.74578532429
138,2.81333639861
139,2.68752749582
140,2.72397570479
141,2.65883635485
142,2.61831371605
143,2.68381057095
144,2.53676573504
145,2.57259098045
146,2.60024745179
147,2.63389034649
148,2.72133518149
149,2.659249035
150,2.63308335697
151,2.78623071468
152,2.6267235873
153,2.8035435717
154,2.59379737218
155,2.8279478575
156,2.4890025257
157,2.62130234442
158,2.68555369569
159,2.67469025588
160,2.64459829125
161,2.86374894393
162,2.70585062444
163,2.68377168666
164,2.65429824819
165,2.56758890555
166,2.65532494122
167,2.50559792936
168,2.6049025699
169,2.80488723944
170,2.49560098541
171,2.70116286743
172,2.56261576556
173,2.58828625212
174,2.52151877538
175,2.58657506499
176,2.77063159029
177,2.70136860209
178,2.47017165584
179,2.57505239817
180,2.59222647363
181,2.78106017839
182,2.72403309967
183,2.53543802563
184,2.57042622548
185,2.75368392686
186,2.79495902014
187,2.80439953165
188,2.71646788496
189,2.71270681958
190,2.71218147343
191,2.79434448396
192,2.48155273015
193,2.47757152766
194,2.53751109616
195,2.95665069244
196,2.55957511522
197,2.59508627064
198,2.60294744144
199,2.49870562937
200,2.61470136461
201,2.75740143933
202,2.86662123642
203,2.51139126279
204,2.77012251856
205,2.65663278209
206,2.6352509305
207,2.83015799854
208,2.57090205285
209,2.71173297905
210,2.50647839501
211,2.5144679228
212,2.6418349218
213,2.46300808904
214,2.65303511435
215,2.81732108154
216,2.59475991736
217,2.66492289995
218,2.61175680439
219,2.5409475314
220,2.63944431487
221,2.73496200674
222,2.62605424669
223,2.78531846819
224,2.40190748602
225,2.88584794082
226,2.5253262101
227,2.84080176778
228,2.74256326435
229,2.6896750124
230,2.77782697778
231,2.62164930165
232,2.45863014999
233,2.68925894777
234,2.5684530392
235,2.61978741547
236,2.61740528977
237,2.72544706517
238,2.53277883759
239,2.58301417141
240,2.53540500417
241,2.87454718447
242,2.66432498933
243,2.75380429235
244,2.49791069672
245,2.73436925479
246,2.51152029872
247,3.01859416673
248,2.52575533529
249,2.53197400959
250,2.52873648818
251,2.97214645128
252,2.77143522651
253,2.66501903791
254,2.65860075676
255,2.67468133846
256,2.70403027046
257,2.81300707091
258,2.80829529995
259,2.7211302741
260,2.59650969493
261,2.56107881643
262,2.66957494346
263,2.8667006001
264,2.40735451592
265,2.62330262382
266,2.65726860978
267,2.75210100188
268,2.77863112664
269,2.89943069301
270,2.68491716328
271,2.5836535354
272,2.74442145734
273,2.55841925765
274,2.68099546562
275,2.88644651284
276,2.59330063618
277,2.63870033205
278,2.66539143142
279,2.81002426543
280,2.83217996243
281,2.79318158622
282,2.72376364062
283,2.42776221829
284,2.51379844997
285,2.72801451439
286,2.7166670956
287,2.57080234528
288,2.62849114345
289,2.57176029946
290,2.73596381722
291,2.42998686046
292,2.52730621896
293,2.86654802944
294,2.51879337415
295,2.72516912509
296,2.59214005923
297,2.51423470409
298,2.61097910912
299,2.51873439214
